local_id,name,type,metaclass,stereotype,documentation,source_requirement,status
BLK-004,宽带通信载荷,Block,Class,SysML::Blocks::Block,负责波束覆盖、频率资源、链路收发和用户数据处理。,,candidate
BLK-005,星间链路终端,Block,Class,SysML::Blocks::Block,提供卫星间数据交换、路由转发和链路状态上报。,,candidate
BLK-006,地面段,Block,Class,SysML::Blocks::Block,提供馈电站、网关、网络管理和运控支撑能力。,,candidate
BLK-007,馈电网关站,Block,Class,SysML::Blocks::Block,负责卫星到地面核心网的馈电接入、回传和站间协同。,,candidate
BLK-008,用户终端,Block,Class,SysML::Blocks::Block,完成用户侧注册、认证、数据收发和状态上报。,,candidate
BLK-009,网络管理中心,Block,Class,SysML::Blocks::Block,执行资源调度、链路监测、业务策略和网络状态管理。,,candidate
BLK-010,任务运控中心,Block,Class,SysML::Blocks::Block,处理遥测遥控、健康管理、告警处置和运行计划。,,candidate
UC-001,生成星座总体方案,UseCase,UseCase,,总体设计师输入任务、覆盖、容量和约束后生成可评审的星座方案。,,candidate
UC-002,执行覆盖与链路分析,UseCase,UseCase,,对轨道覆盖、链路预算、波束资源和时延指标进行联合分析。,,candidate
UC-003,完成用户业务接入,UseCase,UseCase,,用户终端接入卫星网络并保持业务会话与链路质量。,,candidate
UC-004,调度网络资源,UseCase,UseCase,,网络管理中心按业务优先级和资源状态进行动态调度。,,candidate
UC-005,处理故障告警,UseCase,UseCase,,系统发现异常后触发告警、隔离、重构和运维闭环。,,candidate
UC-006,同步MagicDraw工程,UseCase,UseCase,,AI生成SysML文本和结构后通过Bridge推送到MagicDraw并回显结果。,,candidate
IF-001,用户接入接口,Interface,Interface,SysML::PortsAndFlows::InterfaceBlock,连接用户终端与宽带通信载荷，承载业务数据、认证与接入状态。,,candidate
IF-002,星间链路接口,Interface,Interface,SysML::PortsAndFlows::InterfaceBlock,连接星间链路终端，承载路由、业务转发和链路状态信息。,,candidate
IF-003,馈电回传接口,Interface,Interface,SysML::PortsAndFlows::InterfaceBlock,连接卫星空间段与馈电网关站，承载馈电数据和网关控制。,,candidate
IF-004,网络管理接口,Interface,Interface,SysML::PortsAndFlows::InterfaceBlock,连接网络管理中心与空间段、地面段，承载资源策略和状态同步。,,candidate
IF-005,遥测遥控接口,Interface,Interface,SysML::PortsAndFlows::InterfaceBlock,连接任务运控中心与卫星，承载遥测、遥控、健康状态和操作指令。,,candidate
IF-006,MagicDraw Bridge接口,Interface,Interface,SysML::PortsAndFlows::InterfaceBlock,承载SysML工程交换包、导入状态、创建元素数和关系数回传。,,candidate
ACT-001,需求理解与方案生成流程,Activity,Activity,,AI解析设计对话、抽取任务约束、生成候选SysML工程骨架。,,candidate
ACT-002,覆盖链路联合分析流程,Activity,Activity,,执行覆盖、链路预算、容量校核和服务质量评估。,,candidate
ACT-003,用户接入与会话保持流程,Activity,Activity,,完成终端注册、认证、卫星选择、链路建立和业务保持。,,candidate
ACT-004,资源调度与路由更新流程,Activity,Activity,,根据链路状态和业务优先级更新波束、网关和路由资源。,,candidate
ACT-005,故障检测与告警闭环流程,Activity,Activity,,完成故障检测、告警分级、隔离处置、重构和恢复确认。,,candidate
ACT-006,MagicDraw工程同步流程,Activity,Activity,,打包SysML元素与关系，调用Bridge，接收MagicDraw创建结果。,,candidate
CON-001,覆盖连续性约束,ConstraintBlock,Class,SysML::ConstraintBlocks::ConstraintBlock,coverageRatio >= 95%，单点服务中断时间受控。,,candidate
CON-002,链路预算约束,ConstraintBlock,Class,SysML::ConstraintBlocks::ConstraintBlock,EIRP、G/T、C/N0、吞吐量和时延满足任务剖面要求。,,candidate
CON-003,资源调度约束,ConstraintBlock,Class,SysML::ConstraintBlocks::ConstraintBlock,业务优先级、频谱、波束、网关和星间链路资源满足冲突约束。,,candidate
