local_id,name,type,metaclass,stereotype,source,source_name,target,target_name,documentation
REL-026,REL-026,trace,Dependency,SysML::Requirements::Trace,REQ-010,模型一致性与可追溯,UC-006,同步MagicDraw工程,模型一致性需求追溯到MagicDraw同步用例
REL-027,REL-027,trace,Dependency,SysML::Requirements::Trace,UC-001,生成星座总体方案,ACT-001,需求理解与方案生成流程,用例细化为AI建模流程
REL-028,REL-028,trace,Dependency,SysML::Requirements::Trace,UC-002,执行覆盖与链路分析,ACT-002,覆盖链路联合分析流程,用例细化为覆盖链路分析流程
REL-029,REL-029,trace,Dependency,SysML::Requirements::Trace,UC-003,完成用户业务接入,ACT-003,用户接入与会话保持流程,用例细化为接入流程
REL-030,REL-030,trace,Dependency,SysML::Requirements::Trace,UC-004,调度网络资源,ACT-004,资源调度与路由更新流程,用例细化为调度流程
REL-031,REL-031,trace,Dependency,SysML::Requirements::Trace,UC-005,处理故障告警,ACT-005,故障检测与告警闭环流程,用例细化为故障闭环流程
REL-032,REL-032,trace,Dependency,SysML::Requirements::Trace,UC-006,同步MagicDraw工程,ACT-006,MagicDraw工程同步流程,用例细化为MagicDraw同步流程
REL-033,REL-033,allocate,Dependency,SysML::Allocations::Allocate,IF-001,用户接入接口,BLK-004,宽带通信载荷,用户接入接口分配到通信载荷
REL-034,REL-034,allocate,Dependency,SysML::Allocations::Allocate,IF-001,用户接入接口,BLK-008,用户终端,用户接入接口分配到用户终端
REL-035,REL-035,allocate,Dependency,SysML::Allocations::Allocate,IF-002,星间链路接口,BLK-005,星间链路终端,星间链路接口分配到星间链路终端
REL-036,REL-036,allocate,Dependency,SysML::Allocations::Allocate,IF-003,馈电回传接口,BLK-004,宽带通信载荷,馈电回传接口分配到通信载荷
REL-037,REL-037,allocate,Dependency,SysML::Allocations::Allocate,IF-003,馈电回传接口,BLK-007,馈电网关站,馈电回传接口分配到馈电网关站
REL-038,REL-038,allocate,Dependency,SysML::Allocations::Allocate,IF-004,网络管理接口,BLK-009,网络管理中心,网络管理接口分配到网络管理中心
REL-039,REL-039,allocate,Dependency,SysML::Allocations::Allocate,IF-005,遥测遥控接口,BLK-010,任务运控中心,遥测遥控接口分配到任务运控中心
REL-040,REL-040,allocate,Dependency,SysML::Allocations::Allocate,IF-006,MagicDraw Bridge接口,BLK-001,低轨宽带卫星互联网系统,Bridge接口分配到SysML工程根模块
REL-041,REL-041,verify,Dependency,SysML::Requirements::Verify,CON-001,覆盖连续性约束,REQ-002,轨道覆盖与服务连续性,覆盖约束验证覆盖连续性需求
REL-042,REL-042,verify,Dependency,SysML::Requirements::Verify,CON-002,链路预算约束,REQ-003,载荷容量与链路质量,链路预算约束验证链路质量需求
REL-043,REL-043,verify,Dependency,SysML::Requirements::Verify,CON-003,资源调度约束,REQ-007,网络管理与资源调度,资源调度约束验证资源调度需求
